,name,lastrevid,ores_prediction
0,Shahjahan Noori,1099689043,GA
1,Abdul Ghafar Lakanwal,943562276,Start
2,Majah Ha Adrif,852404094,Start
3,Haroon al-Afghani,1095102390,B
4,Tayyab Agha,1104998382,Start
5,Ahmadullah Wasiq,1109361754,Start
6,Aziza Ahmadyar,1087211008,Start
7,Muqadasa Ahmadzai,1082489593,Start
8,Mohammad Sarwar Ahmedzai,1038918070,Start
9,Amir Muhammad Akhundzada,1069322182,Start
10,Nasrullah Baryalai Arsalai,1095526840,Start
11,Mohammad Asim Asim,1013838830,Stub
12,Atiqullah Atifmal,1112407669,Start
13,Abdul Rahim Ayoubi,1108886061,Start
14,Alhaj Mutalib Baig,1111494041,Start
15,Ismael Balkhi,1112534409,Start
16,Abdul Baqi Turkistani,889226470,Stub
17,Mohammad Ghous Bashiri,1102150221,Start
18,Abas Basir,1098419766,C
19,Jan Baz,997027082,Stub
20,Ahmad Behzad,1103948295,Start
21,Bashir Ahmad Bezan,1060707209,Start
22,Rafiullah Bidar,977208323,Stub
23,Mohammad Siddiq Chakari,1105913099,Stub
24,Cheragh Ali Cheragh,1087211968,Start
25,Nasir Ahmad Durrani,988838315,Stub
26,Elay Ershad,1102489654,Stub
27,Muhammad Hashim Esmatullahi,949986748,Stub
28,Ezatullah (Nangarhar),947885788,Stub
29,Aimal Faizi,1033383351,Stub
30,Mohammad Nasim Faqiri,1098051193,Start
31,Mohammad Nazar Faqiri,1095525798,Stub
32,Sharif Ghalib,1041460606,B
33,Hashmat Ghani Ahmadzai,1112933356,C
34,Abdul Ghani Ghani,1072441893,Stub
35,Ashraf Ghani,1113195582,B
36,Abdul Samad Ghaus,1072271854,Stub
37,Ghulam Ghaus,1109361872,Stub
38,Ghulam Muhammad Ghobar,1108886395,Stub
39,Mohammad Gul (Helmand Council),1092523687,Stub
40,Ghulam Haider Hamidi,1095018556,Start
41,Rangina Hamidi,1104280812,C
42,Abdul Malik Hamwar,1100874645,Stub
43,Sayed Zafar Hashemi,1112804808,Start
44,Qutbuddin Hilal,1104423275,Start
45,Shahnaz Himmeti,909966254,Stub
46,Anarkali Kaur Honaryar,1069574154,Start
47,Mahboba Hoqomal,1092518990,Stub
48,Musa Hotak,1094201417,Start
49,Mirza Muhammad Ismail,1073524466,C
50,Sayed Jalal,1078580238,Start
51,Said Tayeb Jawad,1093621927,C
52,Faizullah Kakar,1108932917,C
53,Amin Karim,1106333491,C
54,Sayed Jalal Karim,1060701067,Start
55,Ahmed Wali Karzai,1090245979,GA
56,Khadija Zahra Ahmadi,1115331693,Stub
57,Hafizullah Shabaz Khail,1092416288,Start
58,Rouh Gul Khairzad,925562571,Stub
59,Masoud Khalili,1103105365,GA
60,Mohammad Khan (athlete),1070779097,Stub
61,Samoud Khan,1010948755,Start
62,Farzana Kochai,1079430136,Stub
63,Farida Kuchi,1109436134,Start
64,Baran Khan Kudezai,1106151353,Start
65,Azizullah Lodin,1102817004,Start
66,Razaq Mamoon,1100189662,Start
67,Fazel Ahmed Manawi,1106464575,Stub
68,Moeen Marastial,1102907176,Start
69,Ahmad Massoud,1112608262,C
70,Ahmad Wali Massoud,1108236868,Start
71,Mohammad Daud Miraki,1112192884,C
72,Abdul Sattar Mirzakwal,1044450376,Stub
73,Abdul Karim Misaq,1052669338,Stub
74,Ali Mohammad (politician),1050463798,Stub
75,Nasruddin Mohseni,1095044526,Start
76,Davood Moradian,1106284627,Stub
77,Zalmai Mujadidi,1104635001,Start
78,Fazal Haq Mujahid,1113267490,C
79,Rahmatullah Nabil,1112496538,Start
80,Sardar Mohammad Nadir Naeem,1038680015,Stub
81,Daoud Naji,1110983467,Start
82,Gholam Rabani Nasher,916899472,Stub
83,Muhammad Yunus Nawandish,1111494390,C
84,Ali Maisam Nazary,1107279930,Start
85,Ghulam Faroq Nijrabi,1093612575,Stub
86,Zabih-U-llah Ghazi Noristani,1001786762,Start
87,Mohammed Tahir Omar,996093541,Stub
88,Nasrin Oryakhil,1097277701,Start
89,Murad Quenili,1093963498,Stub
90,Ghulam Mohammad Rigi,918256992,Stub
91,Ghulam Hassan Safi,987269301,Stub
92,Hanifa Safi,994195074,Stub
93,Amrullah Saleh,1115022704,FA
94,Mohammed Zia Salehi,889806024,Stub
95,Abdul Majid Samim,1098092701,Stub
96,Saber Sangar,1019860497,Stub
97,Muhammad Arif Sarwari,1079170926,Start
98,Sayed Nasim Mihanparast,1026963110,Stub
99,Sayyid Husayn,1095559301,Stub
100,Suhail Shaheen,1102910228,Start
101,Mohammad Shakir Kargar,1096574840,C
102,Baktash Siawash,1111917754,Stub
103,Awtar Singh,1115100619,Stub
104,Hasan Ali Sultani,1060706902,Stub
105,Faramarz Tamanna,1106885861,C
106,Mohammad Hashem Taufiqui,1021308429,Start
107,Nur ul-Haq Ulumi,1107429109,GA
108,Pacha Gul Wafadar,1020846299,Stub
109,Wahidullah Waissi,1111508295,C
110,Gul Ahmmad Yama,1060707715,Start
111,Al-Haj Suliman Yari,1092426408,Stub
112,Abdul Salam Zaeef,1106388504,GA
113,Abdul Zahir (Konar Education Minister),1097261199,Stub
114,Mohammed Zaman,1108389318,Start
115,Ziauddin (Afghan militia leader),1095799892,Start
116,Qari Ziauddin,1033608758,Start
117,Abdul Ghafor Zori,994023417,Stub
118,Ali Pasha of Gusinje,1114426634,GA
119,Ylli Asllani,949182924,Start
120,Azis Tahir Ajdonati,994501003,Stub
121,Bislim Bajgora,1091800566,Start
122,Kastriot Berissa,1094050369,Start
123,Bardhok Biba,1110580984,C
124,Dervish Biçaku,1106794267,Stub
125,Kostandin Boshnjaku,1107876476,C
126,Spartak Braho,1098235893,Start
127,Safet Butka,1067080697,C
128,Uran Butka,1087272778,Start
129,Refo Çapari,1061419179,Start
130,Neritan Ceka,1095178618,Start
131,Hysni Curri,1114418989,Start
132,Ibrahim Dalliu,1087026828,Start
133,Niazi Demi,1104589367,Stub
134,Abdurrahman Dibra,1101365003,Start
135,Fuad Dibra,1079550815,Start
136,Isuf Dibra,1108975040,Start
137,Bujar Dida,1112281152,C
138,Ahmed Dino,1114424802,Stub
139,Rasih Dino,1067061654,Stub
140,Ferhat Bey Draga,1101927317,C
141,Nexhip Draga,1092914547,GA
142,Aqif Pasha Elbasani,1114425909,B
143,Abas Ermenji,1073827690,Start
144,Bajram Fevziu,1089008480,Start
145,Qamil Musa Haxhi Feza,1015553118,Stub
146,Themistokli Gërmenji,1099714241,C
147,Sabri Godo,1105835401,C
148,Mihal Grameno,1095879069,C
149,Aćif Hadžiahmetović,1104696112,GA
150,Albulena Haxhiu,1095286065,Stub
151,High Council of Regency,1107096289,C
152,Spiridon Kacarosi,993288548,Stub
153,Kurt Agë Kadiu,998414015,Stub
154,Mehmed Kalakula,979382854,Stub
155,Alfred Karamuço,1098236555,Stub
156,Ibrahim Karbunara,1053849574,Start
157,Ali Këlcyra,1069956844,C
158,Belind Këlliçi,1114971095,C
159,Bajram Kelmendi,1098232331,Start
160,Kristo Kirka,1071577370,C
161,Elez Koçi,919356105,Start
162,Ali Riza Kolonja,1095185542,Start
163,Glauk Konjufca,1110511667,Start
164,Xhelal Koprëncka,1106794268,Stub
165,Kryeziu family,1113466121,Start
166,Artur Kuko,1112281132,Stub
167,Xhavid Leskoviku,1080104315,Start
168,Sabit Lulo,1071576324,Stub
169,Gjon Markagjoni,1114419158,C
170,Tefik Mborja,1112281218,Start
171,Fatmir Mediu,1108640753,Stub
172,Hysni Milloshi,1111101481,Start
173,Musa Qazimi,1085455681,GA
174,Mustafa Ndroqi,1091483288,Stub
175,Behxhet Nepravishta,1114419169,Stub
176,Adrian Neritani,1112281129,Start
177,Sali Nivica,1074384873,Start
